Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,47.5,-24.9,90.0,top
C1,27.0,-30.0,270.0,top
C2,25.5,-29.795,270.0,top
C3,41.02,-33.5,0.0,top
C4,47.0,-37.48,270.0,top
C5,29.32,-40.3475,90.0,top
C6,31.82,-40.2975,270.0,top
C7,51.5,-37.98,270.0,top
C8,40.5,-38.225,270.0,top
C9,38.5,-38.175,270.0,top
CHG1,23.0,-49.2875,90.0,top
J1,28.8,-25.375,180.0,top
J3,49.15,-45.0,180.0,top
J4,29.32,-46.815,0.0,top
POWER1,40.1,-46.5,0.0,top
R1,44.5,-29.5,90.0,top
R2,35.0,-28.0,270.0,top
R3,47.51,-31.5,180.0,top
R4,47.0,-35.0,90.0,top
R5,27.32,-40.3575,90.0,top
R6,25.82,-40.3575,90.0,top
R7,37.55,-41.99,270.0,top
R8,21.49,-46.5,180.0,top
RST1,42.0,-25.0,270.0,top
STAT1,35.0,-25.2875,90.0,top
U1,33.1375,-32.775,270.0,top
U2,49.2375,-37.21,0.0,top
U3,35.37,-40.61,90.0,top
U4,43.95,-37.1375,270.0,top
