Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,1u,C52923
C2,0402,1,0.1u,C309458
C3,0805,1,10u,C380332
"C4, C5, C6, C7",0805,4,10uF,C380332
"C8, C9",0402,2,0.1uF,C309458
CHG1,0603,1,LED,C2286
D1,0603,1,LED,C12624
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
J2,JST_PH_S8B-PH-SM4-TB_1x08-1MP_P2.00mm_Horizontal,1,Conn_01x08,C265121
J3,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,JST-PH,C968533
POWER1,SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH,1,SW_SPDT,C49023767
"R1, R16, R2, R4, R5",0402,5,10k,C25744
R10,0402,1,4K99,C25903
R11,0402,1,2K,C4109
"R12, R13",0402,2,2.2K,C25879
"R14, R15",0402,2,100,C25076
R3,0402,1,4.7k,C25900
"R6, R7",0402,2,22,C25092
"R8, R9",0402,2,5K1,C25905
SW1,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,1,BOOT,C139797
SW2,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,1,RST,C139797
U1,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1,C2838502
U2,SOT-23-5,1,MCP73831-2-OT,C424093
U3,Kionix_LGA-12_2x2mm_P0.5mm_LayoutBorder2x4y,1,KXTJ3-1057,C442603
U4,SOT-23-5,1,AP2112K-3.3,C51118
