Designator,Mid X,Mid Y,Rotation,Layer
C1,82.52,-92.0,180.0,top
C2,87.0,-62.02,90.0,top
C3,86.5,-64.95,270.0,top
C4,101.55,-80.45,180.0,top
C5,82.5,-79.5,90.0,top
C6,82.6,-76.0,270.0,top
C7,80.0,-67.0,90.0,top
C8,105.52,-66.0,0.0,top
C9,106.52,-71.5,0.0,top
CHG1,109.0,-88.7125,90.0,top
D1,80.5,-70.2875,90.0,top
J1,109.45,-77.68,90.0,top
J2,94.5,-87.0,180.0,top
J3,89.0,-76.85,270.0,top
POWER1,80.2,-78.5,270.0,top
R1,98.5,-81.0,180.0,top
R10,107.49,-83.5,180.0,top
R11,106.99,-92.0,0.0,top
R12,103.49,-62.5,90.0,top
R13,105.49,-64.5,0.0,top
R14,86.0,-68.5,270.0,top
R15,86.0,-71.0,270.0,top
R16,103.49,-66.0,0.0,top
R2,82.49,-83.5,180.0,top
R3,78.5,-67.99,90.0,top
R4,85.0,-62.0,180.0,top
R5,99.5,-73.5,0.0,top
R6,102.49,-69.0,0.0,top
R7,102.49,-70.0,0.0,top
R8,102.5,-75.0,90.0,top
R9,102.5,-78.0,90.0,top
SW1,106.5,-88.5,270.0,top
SW2,82.5,-88.5,270.0,top
U1,94.6,-63.3,0.0,top
U2,110.05,-85.1375,270.0,top
U3,105.2375,-68.25,270.0,top
U4,77.95,-71.6375,270.0,top
